genotype	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
WATDE0055	0.0161747	0.0205565	-0.00200663	0.0124382	-0.00130707	0.00172155	0.0108995	0.0153011	-0.00222377	-0.101398
WATDE0056	-0.0810765	0.00171915	-0.00714803	-0.000398325	0.0324322	0.0554418	0.0268339	-0.0090976	0.00785405	-0.0105833
WATDE0057	-0.0165391	0.0161478	-0.0167567	-0.00463533	-0.0094848	-0.04243	-5.46E-05	-0.0138199	0.000355752	0.00889104
WATDE0058	-0.00648364	-0.0236792	-0.0377887	0.0235311	-0.0175821	-0.0235706	-0.0177703	-0.00448639	0.00974151	0.0175611
WATDE0059	0.0158147	0.0573711	0.0192472	-0.0324828	0.00704282	-0.0124418	0.0167385	0.0270014	0.0300126	-0.0150612
WATDE0060	-0.0112288	0.0325294	0.0165579	-0.0203453	0.00532735	-0.00178894	-0.00527838	0.00143485	0.0344278	0.00358876
WATDE0062	-0.0616388	-0.0222657	0.037887	-0.00297044	0.0072484	0.0438287	0.000462793	0.00674355	0.0158895	-0.00245357
WATDE0063	-0.0800045	-0.0195186	0.0308778	0.0141432	0.00522362	0.0295271	-0.000414481	0.0129991	0.0348824	0.00123836
WATDE0064	-0.054816	0.0137861	-0.00280573	0.00465572	0.0213023	0.0483499	-0.00104454	-0.0287317	0.0534595	0.0229247
WATDE0065	0.0190459	0.0585274	0.00534467	-0.0333822	0.00763873	-0.0122188	0.0129053	0.0314371	0.0256646	-0.0175011
WATDE0066	-0.00389913	-0.00756327	0.049029	-0.000971754	-0.0227393	0.000725663	-0.0358869	0.00333153	-0.0169192	-0.0115828
WATDE0067	0.0328465	-0.0665058	0.0318984	0.0347157	-0.0128699	-0.0170863	0.0751236	-0.0247492	0.01621	0.0404248
WATDE0068	0.0243131	-0.0266455	0.0232472	0.0146922	-0.0104972	-0.00044624	0.00974606	0.0210826	-0.00735408	0.0304571
WATDE0069	0.0288982	-0.0350679	0.00908114	0.0228523	-0.0172601	0.00683325	-0.019155	0.0234415	-0.00333505	0.0123109
WATDE0070	0.0337404	-0.00293538	-0.0224576	0.0374007	-0.00176022	0.0192852	-0.0346089	0.0105511	-0.0125723	0.0074465
WATDE0071	0.023803	-0.0225445	-0.014034	0.021854	0.00153299	-0.00733756	0.0172366	-0.00882206	0.00735546	0.022039
WATDE0072	0.028216	-0.0066293	-0.0220221	0.0281694	0.00197114	0.011659	-0.0290606	0.0220406	0.00635541	0.024398
WATDE0073	0.0327756	-0.0161858	-0.0243714	0.032703	4.54E-06	0.0110994	-0.0164138	0.0176728	0.007318	0.00388151
WATDE0074	-0.0940513	-0.000272777	-0.0446067	0.021553	-0.0324248	-0.08442	-0.00628655	0.00327056	0.0247908	-0.00893625
WATDE0075	-0.0463404	-0.0235083	0.0174239	0.0228534	-0.00240999	0.0267227	-0.0284302	0.0215953	0.0136514	0.00980162
WATDE0076	-0.0553946	0.00403773	0.015001	0.000796486	0.015958	0.0504433	-0.0626605	-0.0210306	-0.0579551	0.0236134
WATDE0077	0.00807967	-0.0450817	-0.0399788	-0.147962	-0.0597007	0.0541943	0.00337757	0.0551813	0.00792052	-0.0550861
WATDE0078	-0.0385021	0.0131201	0.0138484	0.00787284	0.0242241	0.0318984	-0.00505595	0.0131494	0.0393107	0.0236282
WATDE0079	0.0159337	0.0434391	0.012105	-0.0136268	0.00407316	-0.0115132	0.00434131	0.0164657	0.0208445	-0.00372452
WATDE0080	-0.0243891	-0.00976535	0.0675004	-0.011876	-0.0204271	0.00179755	0.00149309	0.00620755	0.0234489	-0.0042175
WATDE0081	-0.0247703	-0.0088619	0.0665448	-0.0110992	-0.0189074	0.00204562	0.00229002	0.00540945	0.026299	-0.00107171
