genotype	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
WATDE0463	-0.0171031	0.010907	-0.0110682	0.03771	0.0110108	0.0289006	-0.0476435	0.0239606	0.00496001	0.0117198
WATDE0465	0.0190364	0.0649203	0.010181	-0.0376759	0.0083985	-0.0162406	0.0100778	0.0298929	0.0369439	-0.01282
WATDE0467	0.00866812	0.0437743	0.00947414	-0.0157262	0.00745935	-0.00643606	0.00644408	0.00944772	0.0298583	-0.00870561
WATDE0469	0.0181633	0.00417802	-0.0366037	0.0637997	0.0113102	0.0342244	-0.0702603	0.056262	-0.0201766	0.00451664
WATDE0471	0.0180289	0.00408147	-0.0366672	0.0638384	0.0112436	0.0341089	-0.0700518	0.0560278	-0.0202851	0.00472998
WATDE0474	-0.0404022	-0.0339981	-0.00635656	0.00498912	-0.0295099	-0.0464856	0.0196111	0.0489473	-0.00341736	-0.00226058
WATDE0477	-0.0689287	-0.0176277	-0.00583567	0.00865353	-0.0293819	-0.0593732	0.00513481	0.0378068	-0.0171013	-0.0138519
WATDE0479	-0.0371674	-0.0270484	-0.0374328	0.0207531	-0.0475484	-0.0923165	0.0229993	-0.0257608	0.0324432	0.0181623
WATDE0481	-0.0445528	-0.0293874	0.00788877	0.01323	-0.0431682	-0.0627375	-0.000148456	0.00170238	0.0100587	0.0342359
WATDE0482	-0.0492151	0.00751939	-0.0132223	-0.00994371	-0.00584182	-0.0012301	-0.0243996	-0.00254827	-0.030956	-0.00346917
WATDE0484	-0.00904254	-0.031071	-0.0953066	-0.0877937	-0.0412057	0.0403325	-0.0301841	-0.0400611	-0.0320512	0.070378
WATDE0486	-0.0146397	-0.0341042	0.00609383	0.0474348	-0.00708362	0.0166621	-0.0225219	0.0574347	-0.0129069	0.0186504
WATDE0487	-0.00886376	-0.0385918	-0.00491595	0.0489389	-0.00688185	0.0162137	-0.0225068	0.0519256	-0.0141367	0.013433
WATDE0488	0.00675955	-0.0393329	-0.108508	-0.117682	-0.0389134	0.0573745	-0.0351825	-0.0554658	-0.0443851	0.109599
WATDE0489	0.0310145	-0.0508102	0.0265102	0.0255514	-0.0111643	-0.0133926	0.0519947	-0.00499532	-0.00662502	0.0538583
WATDE0490	0.0118919	-0.0157557	0.0344126	-0.0297756	-0.00692084	0.00136011	0.0308092	0.0455596	-0.00861436	-0.0055366
WATDE0492	0.0193866	-0.0053055	0.0213735	-0.0224908	-0.0159299	-0.00661939	-0.0176947	0.0421927	0.0031203	-0.00584139
WATDE0494	0.0199901	0.0618085	0.0111558	-0.0313229	0.00762481	-0.0141888	0.00651079	0.0259784	0.0279246	-0.0124765
WATDE0496	0.0198753	0.0616774	0.0111126	-0.0311721	0.00759141	-0.0142304	0.00661051	0.0257349	0.0277473	-0.0123568
WATDE0498	0.0199992	0.0618198	0.0111512	-0.031322	0.00763359	-0.014175	0.0064903	0.0259947	0.027935	-0.0125212
WATDE0500	0.0176875	0.0643331	0.014858	-0.0360838	0.00951974	-0.0163897	0.016985	0.032288	0.0378557	-0.0172275
WATDE0501	0.0178816	0.0640576	0.0148746	-0.0360854	0.00961852	-0.016269	0.0171849	0.031603	0.0373574	-0.0174134
WATDE0502	0.0147086	0.0216454	-0.0192201	0.0280554	0.0147848	0.0153815	-0.0240153	0.0487304	-0.0052346	0.00245709
WATDE0503	0.0147891	0.0543261	0.0170877	-0.0303421	0.00565427	-0.0154488	0.0133377	0.0227989	0.0196709	-0.00860476
WATDE0504	0.0211799	0.0429542	-0.0210733	-0.0112503	0.00089519	-0.0074082	-0.0156079	-0.0417867	-0.0101631	0.0540865
WATDE0505	0.019	0.0648698	0.0101201	-0.0375689	0.00835159	-0.0162867	0.0101436	0.0296979	0.0367217	-0.0127658
WATDE0507	0.0162936	0.0632504	0.0148435	-0.0386161	0.0093317	-0.0177633	0.0144064	0.0334988	0.034563	-0.0151908
WATDE0509	0.0205044	-0.0325497	0.0153358	0.0265203	0.00161635	-0.00338063	0.033177	0.00079487	-0.00330947	0.0159933
WATDE0510	0.0383002	-0.037636	0.0169753	0.0465516	-0.0229997	0.00100851	0.0240556	0.0010877	0.00845312	-0.167264
WATDE0511	0.0198809	0.0418156	0.00360336	-0.00710159	0.00384448	-0.00344734	-0.0118467	0.0324445	0.0213947	-0.0169028
WATDE0512	0.0190886	0.0188262	-0.00240292	0.00190668	-0.00465572	0.00233945	-0.00939169	-0.00974442	0.00222816	-0.00714672
WATDE0513	0.0323824	0.0222352	-0.0185436	0.0190337	0.00327792	0.00471937	-0.0368872	0.0361048	0.0100769	0.00185775
WATDE0515	0.0272696	-0.039481	0.0251672	0.0185886	-0.0136322	-0.00867377	0.0240743	0.000381082	-0.00243957	0.0236374
WATDE0516	0.0130478	0.0489311	0.018198	-0.0267503	0.00405296	-0.00684085	0.00414875	0.0222143	0.0169569	-0.00676434
WATDE0518	0.0131442	0.0491011	0.018234	-0.0267584	0.00411499	-0.00673911	0.00410367	0.0222319	0.0168596	-0.0068613
WATDE0519	0.0179782	0.0548265	0.0108873	-0.0349216	0.00610549	-0.0104768	0.0102062	0.0285096	0.0277598	-0.0160903
WATDE0520	0.0192568	0.0369887	0.00526334	-0.00209929	0.00441976	-0.0102948	-0.000336176	0.0189241	0.0167601	-0.00526561
WATDE0521	0.0113244	0.0144839	0.0476815	-0.0242886	-0.00932325	-0.0186768	0.0159734	0.0287887	-0.00446602	0.019107
WATDE0522	0.020661	0.0403041	0.00185737	-0.0082275	0.00310613	-0.00427968	-0.00716654	0.00817406	0.0136546	-0.0116979
WATDE0524	0.0164321	0.0590507	0.0164058	-0.0319426	0.00675836	-0.0155459	0.0152304	0.0260436	0.0332566	-0.015218
WATDE0527	0.0294119	0.0039091	-0.00208487	0.0138456	0.000459771	0.0014959	0.0148056	5.87E-06	0.0167436	0.00118748
WATDE0529	0.0178656	-0.00312198	0.0290844	0.000982823	-0.0192645	-0.00550991	-0.00877241	0.0349706	-0.00569486	-0.0113075
WATDE0531	0.0173284	0.0151166	0.00268785	-0.00372612	0.00159525	-0.0120712	0.0128536	0.0129263	0.0282634	0.00302728
WATDE0533	0.0150676	0.0231074	0.0428199	-0.0294747	-0.00832533	-0.0195005	0.0171548	0.04639	0.0251007	-0.0128368
WATDE0534	0.0108752	-0.00275859	0.0371992	-0.00357672	-0.0173288	-0.0073549	-0.00467868	0.0311498	-0.0166763	-0.00742919
WATDE0536	0.016913	0.0427719	0.011105	-0.0155742	0.00510936	-0.00754373	-0.00546548	0.0426431	0.0123473	-0.00943285
WATDE0537	0.0149697	0.0135674	0.0432313	-0.0218551	-0.0100755	-0.0145231	0.0105396	0.0345291	0.00124333	-0.00651122
WATDE0538	0.0178108	0.0224701	0.0420019	-0.0294392	-0.0087693	-0.0174367	0.00707514	0.0605329	0.0221067	-0.018146
WATDE0539	0.0150179	0.0135548	0.0432621	-0.0218726	-0.0100728	-0.0144966	0.0105349	0.0345614	0.00121939	-0.00648887
WATDE0540	0.013502	0.050456	0.0187816	-0.0244387	0.00679641	-0.0121839	0.0125547	0.0171471	0.0239069	-0.00837644
WATDE0541	0.0225682	0.00449733	-0.0379018	0.0655366	0.0118939	0.0323737	-0.0670773	0.0577385	-0.0163901	1.20E-05
WATDE0542	0.0229577	-0.0122027	-0.000761822	0.0500477	-0.00571631	0.020148	-0.0550706	0.0735179	-0.0238779	-0.0374071
WATDE0543	0.0199273	0.0578483	0.00794462	-0.028595	0.00750543	-0.014716	0.00782322	0.023848	0.0234138	-0.00417584
WATDE0544	0.0162744	0.0274094	-0.0352221	0.0388973	0.00963248	0.0190405	-0.0487067	0.0147273	-0.0251944	0.033784
WATDE0546	0.0240037	-0.00116727	-0.0440303	0.0698853	0.00827487	0.036563	-0.0781798	0.0598249	-0.0222971	-0.00516668
WATDE0547	-0.0195124	0.0175546	-0.00577967	0.0244687	0.0163423	0.0215637	-0.0196652	0.0151726	0.00730481	0.014296
WATDE0549	-0.0491964	0.00809956	0.0154359	-0.00581314	0.0147206	0.0470403	-0.0607539	-0.0315742	-0.0471116	0.0259057
WATDE0550	-0.00450671	0.02689	0.0134468	-0.00814813	0.00397641	0.0144282	-0.0405365	0.0175663	-0.0133784	0.0117064
WATDE0552	-0.047336	0.00608577	0.00867747	-0.018987	0.0229074	0.057455	-0.0374511	-0.00878313	-0.0551989	0.00719286
WATDE0553	-0.0129157	0.00399615	0.0133441	-0.00359026	0.00251859	0.0153941	-0.0200244	-0.0151902	0.00476465	0.0242033
WATDE0555	0.0101955	-0.0198669	0.037638	0.000502672	-0.0207047	0.00133986	0.00679735	0.0317362	0.0112	-0.00504952
WATDE0556	0.0268656	-0.0569522	0.0319763	0.0265029	-0.00938927	-0.0167563	0.0685348	-0.0184471	0.0232785	0.0340003
WATDE0557	-0.00120534	0.0153872	-0.0228078	0.0399674	0.0137034	0.0193458	-0.0305851	0.0445365	-0.02993	-0.00138317
WATDE0558	0.014896	-0.00407943	0.0358972	-0.016296	-0.0210764	-0.00486621	0.00654521	0.0289435	0.018042	-0.0238606
WATDE0560	0.012605	0.0139423	0.0370085	-0.0411574	-0.00577516	0.00318966	0.0055304	0.0617575	0.013789	-0.0331119
WATDE0561	0.0123806	0.013914	0.0369405	-0.0409834	-0.00581403	0.00300549	0.00565248	0.0614042	0.0136117	-0.0328402
WATDE0562	0.0164047	0.00404952	0.00377522	0.00587255	-0.00179996	-0.000464256	0.00910449	0.00180248	0.0158843	0.00796567
WATDE0563	0.0154503	-0.0131113	0.0262936	-0.00761114	-0.0232957	-0.00454547	0.00271842	0.0141685	0.011779	-0.015419
WATDE0565	0.0327356	-0.068594	0.0310856	0.0297086	-0.0104843	-0.01891	0.0817302	-0.0276031	0.0192744	0.0518306
WATDE0566	0.0277563	-0.0604517	0.0108229	0.0373621	0.000669944	-0.000583595	0.0361561	-0.0092574	0.00572354	0.0229088
WATDE0567	0.016186	0.0113346	-0.0297403	0.0586466	0.00965429	0.026634	-0.0668233	0.0616294	-0.0217863	-0.00305096
WATDE0568	0.0163124	0.0129961	-0.0334747	0.054901	0.00832542	0.025273	-0.0709798	0.069593	-0.0238175	4.82E-05
WATDE0569	0.00800182	-0.122202	-0.108486	-0.195868	-0.107687	0.108463	-0.0249341	0.0180347	0.049059	-0.0384848
WATDE0570	0.0123442	-0.120095	-0.111507	-0.197132	-0.106639	0.109502	-0.0286199	0.0178322	0.0473298	-0.0413282
WATDE0571	-0.00739367	0.0134516	-0.00669207	0.0263235	0.00553305	0.00490966	-0.00703551	0.0261729	-0.03573	-0.00308933
WATDE0572	0.0248276	-0.0266367	0.00600344	0.0405425	-0.0165	0.0140384	-0.0481793	0.0733525	-0.0165254	0.00523559
WATDE0574	-0.0887626	-0.00976198	-0.0541876	0.00451248	-0.048271	-0.0997662	0.003422	-0.00616764	0.0130591	-0.0221931
WATDE0577	0.0381269	-0.0587319	0.0168046	0.029561	-0.00879392	-0.00706773	0.0350211	-0.0146094	0.0122078	0.0160748
WATDE0578	0.00935035	0.00612741	0.0412796	-0.0398341	-0.00979808	0.00264486	0.0173055	0.0531122	0.0173997	-0.0411026
WATDE0579	0.00729131	-0.0137492	0.0371004	-0.0198373	-0.00803019	0.0181873	0.0162621	0.0420105	0.0284248	-0.0548378
WATDE0581	-0.0478649	0.0110962	0.0370167	0.00310532	0.00377504	0.0233562	-0.0210479	-0.0339538	0.0393185	0.0147842
WATDE0582	0.00430048	-0.0168643	0.0441377	-0.00461642	-0.020228	0.00120795	0.0099046	0.0316255	0.0124433	-0.00748856
WATDE0585	-0.0431856	-0.000307078	-0.0196735	0.0437026	0.00603259	0.00750947	-0.0234531	0.00218657	0.042464	0.0223425
WATDE0586	0.0170353	0.0624521	0.0117315	-0.0325423	0.0115281	-0.0144799	0.013415	0.031872	0.0266333	-0.0138581
WATDE0588	-0.0303936	-0.0574024	-0.0672931	-0.0598959	-0.0184103	0.058079	0.0371175	0.0466323	-0.0621317	0.00705009
WATDE0589	-0.00716704	0.0287649	-0.0326943	-0.0623395	0.00743397	0.0148522	0.0484277	0.0323338	-0.0139176	-0.0366384
WATDE0591	0.0209323	0.00213558	-0.0400455	0.065745	0.0065058	0.0317573	-0.0739568	0.0711305	-0.0236278	0.00321137
WATDE0592	0.0144516	0.0309958	-0.00856942	0.0165335	0.00265859	0.000274828	-0.0349333	0.0444155	-0.00283198	-0.0191742
WATDE0594	-0.0477545	0.0186987	-0.0153744	-0.00780321	0.0313369	0.0370946	0.0260814	0.0168445	-0.00463062	-0.0108397
WATDE0596	0.00229593	0.00876426	0.0395219	-0.0434699	-0.00559681	0.00352286	0.0232593	0.0469389	0.0125487	-0.036044
WATDE0597	-0.0571367	-0.0196606	0.00827616	0.0155287	0.0162127	0.00603751	0.062646	0.037034	-0.0579397	-0.0231216
WATDE0598	-0.00515262	0.00807038	-0.022879	0.0371211	0.0186055	0.0263143	-0.0161376	0.0397083	-0.01511	0.012064
WATDE0599	-0.00561531	0.00601176	-0.0213163	0.0411243	0.018159	0.0280541	-0.0178323	0.042502	-0.0117457	0.0117996
WATDE0600	-0.0517252	0.0372729	0.0105746	0.00304086	0.0276198	0.0311614	-0.00398082	0.0061003	0.067642	0.00256995
WATDE0601	-0.0575406	0.00337364	-0.025648	0.00645789	0.0318068	0.037516	0.0469908	0.0210912	-0.0432317	-0.0247106
WATDE0602	-0.0849364	0.00603492	0.00634457	0.0108392	0.0120083	0.0210016	-0.0029114	-0.0297414	0.0808224	0.0020922
WATDE0603	-0.0545051	-0.00565664	-0.00767019	0.0243983	0.0145948	0.0185271	0.0137068	-0.00250238	0.0223225	-0.00230383
WATDE0604	-0.00559923	-0.0163914	0.0160287	0.0190779	0.00358212	0.00501596	0.0304244	0.0480116	-0.0144628	-0.00842665
WATDE0606	-0.0111591	0.0233062	-0.0249508	0.00248896	0.0128595	0.00756838	0.0117891	-0.0182863	-0.0545228	0.00139983
WATDE0608	0.0336986	-0.00154313	-0.0253375	0.0451276	-0.00632544	0.0206396	-0.0575708	0.0290195	-0.0129269	0.0073763
WATDE0609	-0.0605559	0.00563509	-0.0235093	-0.0100012	0.0415268	0.0544346	0.0644772	0.0171134	-0.0824321	-0.0388088
WATDE0610	-0.0807283	-0.00219102	-0.0324408	-0.00909844	0.0442309	0.0575455	0.0765035	0.00945769	-0.0676851	-0.0355822
WATDE0611	-0.0293603	-0.0397789	-0.00658568	-0.00713972	0.0430692	0.0237475	0.0741759	0.0329418	-0.0854836	0.00791283
WATDE0613	-0.0880784	-0.00209561	-0.00683619	0.000180126	0.0378625	0.0606034	0.0352963	-0.0117097	0.0356108	0.00177795
WATDE0614	-0.00636112	-0.0460816	0.0337733	-0.00836175	0.00147676	0.00398621	0.089076	-0.0218522	0.0019268	0.00993486
WATDE0615	-0.0216317	-0.00198018	0.00749297	0.00129533	0.00536209	0.0142403	0.0269479	-0.0213133	0.0159441	0.0184621
WATDE0616	0.0194942	-0.0183654	-0.0136109	0.00754601	0.0224325	-0.00720277	0.0211641	-0.0487567	-0.00243918	-0.00142417
WATDE0617	-0.0838517	-0.00592707	-0.053345	0.00204506	-0.00458575	-0.0330981	0.0344358	0.0183089	-0.0517524	-0.0421268
WATDE0618	0.0205434	0.026946	-0.0276189	-0.0111246	-0.00879261	-0.0128	-0.0223407	-0.0406564	-0.0188006	0.0645931
WATDE0620	0.00865897	0.0194373	-0.0198337	0.0052252	-0.0100557	-0.0273804	-0.0162424	-0.0111112	-0.00282299	0.00234721
WATDE0622	0.0206253	0.0269248	-0.0276765	-0.0112797	-0.00882754	-0.0126904	-0.0226344	-0.0406372	-0.0186698	0.0647164
WATDE0624	-0.0109467	0.0104541	-0.0261443	-0.0324109	0.00669729	-0.0361574	0.0146292	-0.00933168	-0.0180774	-0.00527495
WATDE0626	-0.0476886	-0.00232205	-0.0412348	0.0404373	-0.00901835	-0.0418613	-0.00489336	0.0240904	-0.0114289	-0.000613685
WATDE0627	-0.0368153	-0.0169516	-0.0414655	0.0216471	-0.0456353	-0.0794875	-0.0210237	-0.0118373	0.0299145	0.00715005
WATDE0628	-0.0250796	0.00755097	-0.039798	0.0243633	-0.0198449	-0.0447268	-0.0175912	0.0227523	0.0107293	0.00295275
WATDE0630	0.00561204	0.0124376	-0.0128331	0.0152666	0.00852366	-0.00403976	0.00383062	0.0174382	0.0089719	0.000251064
WATDE0631	0.00589588	0.0122634	-0.0129097	0.0154257	0.00863824	-0.00368996	0.0037897	0.0173599	0.00888555	0.000344038
WATDE0632	0.0157345	0.0572796	0.0191599	-0.032329	0.0070287	-0.0124434	0.016732	0.0268702	0.0298679	-0.0149879
WATDE0634	-0.0365369	0.0275997	-0.0319155	0.0105462	-0.0207395	-0.066513	-0.0176532	0.0191797	0.00176109	-0.00594847
WATDE0635	-0.0915256	-0.00582685	-0.057036	0.0283703	-0.040493	-0.105467	-0.0100386	0.00671626	-0.00133333	-0.017781
WATDE0636	0.0156689	0.0572402	0.0191547	-0.0322779	0.00697804	-0.0124897	0.0167145	0.0268057	0.0298372	-0.0149663
WATDE0638	0.0173294	0.0612664	0.0147236	-0.0357969	0.00848261	-0.0173741	0.0161308	0.0322815	0.0322232	-0.0165886
WATDE0639	-0.00870518	-0.0342823	0.0353718	0.0115228	-0.00166314	0.0215071	-0.0141952	0.00605448	0.0651646	0.0299017
WATDE0640	0.0118008	0.000564477	-0.0102381	0.0229649	9.45E-06	0.00668811	-0.0208438	0.00323852	0.00714033	-0.00101694
WATDE0641	-0.0582769	0.0184337	0.00622277	0.0120922	0.0257846	0.0356642	3.32E-05	-0.00562423	0.0700165	0.0174702
WATDE0643	-0.0518453	-0.00433042	0.0652715	-0.00246788	-0.00430756	0.0228417	-0.0289489	0.00269739	-0.00422957	0.00327416
WATDE0644	-0.0351161	-0.00586859	0.0755032	-0.0178365	-0.0219003	0.0051726	-0.0252465	-0.0190533	-0.00256624	0.000168023
WATDE0646	0.00247259	-0.0172951	0.0201688	-0.00128714	0.00610295	-0.00215664	-0.0281163	0.0371711	-0.00142057	-0.00758242
WATDE0648	0.0117662	-3.63E-05	-0.0125306	0.0060846	0.0133098	0.00513712	-0.0311141	-0.00907411	-0.00537845	-0.00630777
WATDE0649	-0.0787739	-0.0159573	0.0341368	0.00779907	0.00737196	0.0199965	0.000957879	0.0164274	0.0213679	-0.0101528
WATDE0650	-0.00990598	0.0160032	-0.0255025	0.0508553	0.0232746	0.0372376	-0.0557938	0.0467786	0.00460341	0.00826769
WATDE0651	-0.0586738	-0.0212081	0.0433945	0.00401984	0.00146645	0.0246605	-0.00426751	0.00959162	0.0530899	0.00993841
WATDE0652	-0.0134062	-0.013708	0.0204895	0.0221087	-0.00789088	0.00300173	-0.0316376	0.0594636	-0.00366603	-0.00322564
WATDE0653	-0.065328	-0.0159127	0.0263147	0.0197915	0.000351477	0.0111087	-0.0191543	0.0374501	0.00554586	-0.0103459
WATDE0655	-0.0690082	-0.015074	0.037917	0.0147546	0.00697478	0.0347999	-0.0106979	0.0196933	0.0236781	0.00126769
WATDE0657	-0.0306506	-0.0151762	0.0213898	0.0129847	0.00709722	0.0361383	-0.0136571	-0.0137984	0.0139342	-0.00411679
WATDE0658	-0.0816458	0.00673325	0.0132771	0.0166141	0.0243728	0.0528446	-0.00781657	-0.0254497	0.0552506	0.010006
WATDE0659	-0.068988	-0.0215219	0.0374605	-0.00700687	0.0101597	0.044194	-0.00344605	0.00929511	-0.0025368	-0.00665712
WATDE0660	-0.0423578	0.0202328	-0.0135369	0.0176308	0.0257436	0.031832	0.0105394	-0.0262696	-0.0100821	-0.000323059
WATDE0661	-0.0617227	-0.00667304	-0.0269236	-0.00601747	0.0351984	0.0437639	0.0569469	0.0104253	-0.0453225	-0.022168
WATDE0662	-0.08127	0.00944632	0.0139778	0.022289	0.0290424	0.0602144	-0.00513164	-0.0233399	0.0975213	0.0287526
WATDE0663	0.0346696	-0.0615648	0.0168872	0.0207841	-0.0140674	-0.00647653	0.0399182	-0.0154057	0.00751733	0.0109087
WATDE0664	-0.0881135	0.00579076	0.012126	0.0263618	0.0299694	0.0622398	-0.0140002	-0.0302481	0.105608	0.0242786
WATDE0665	-0.0883031	0.00572965	0.0123012	0.0263285	0.0301306	0.0626387	-0.0141769	-0.030384	0.106178	0.0243988
WATDE0666	0.0211928	0.0440439	-0.0130532	-0.0185016	-0.000648927	-0.00584923	-0.00969928	-0.0306196	-0.0081835	0.045022
WATDE0667	0.0195318	0.059107	0.00554177	-0.0340766	0.00785359	-0.0120705	0.0129136	0.0325826	0.0264184	-0.0181924
WATDE0669	-0.0105168	-0.0436358	0.00519857	-0.0326424	-0.0213735	0.00889807	-0.0163708	-0.00238186	-0.0105193	-0.010134
WATDE0670	-0.03009	-0.00299772	0.0904479	-0.0223017	-0.0276579	0.00183412	-0.041729	-0.0222361	-0.0301958	-0.0143433
WATDE0671	-0.032995	-0.00382541	0.0937492	-0.0154259	-0.027725	0.00310046	-0.0428936	-0.0268015	-0.0147979	-0.0104687
WATDE0672	-0.0290576	-0.00298912	0.081957	-0.0244381	-0.0263863	0.0047324	-0.0369196	-0.0162944	-0.0202114	-0.00622331
WATDE0674	-0.0330196	-0.00385671	0.0938643	-0.0154737	-0.0277635	0.00311049	-0.0430122	-0.0267559	-0.0147475	-0.0105086
WATDE0675	0.0236045	0.000920549	-0.042242	0.0682801	0.00980302	0.035677	-0.073602	0.0584893	-0.0214949	0.00960046
WATDE0676	0.0213101	0.005241	-0.0365164	0.0535529	0.00841226	0.0295427	-0.058763	0.0426283	-0.0143679	0.00582875
WATDE0678	0.0215431	0.0290232	-0.00652401	-0.0166908	-0.00473633	0.00229512	-0.0176675	-0.00184652	0.00954559	-0.00618354
WATDE0679	0.0144729	-0.0286344	-0.0336494	-0.0296776	0.0447409	0.00997753	0.029657	-0.0123021	-0.00631104	-0.012939
WATDE0680	0.0319415	-0.0458681	0.0262986	0.0221361	-0.0151263	-0.012851	0.0401157	-0.00210404	0.00115701	0.0343082
WATDE0682	0.0326385	-0.0661053	0.0317929	0.0346291	-0.0129123	-0.0171532	0.0747417	-0.0247054	0.0159708	0.0400699
WATDE0683	0.0304857	-0.0497029	0.0221077	0.0271296	-0.0142488	-0.00804093	0.0368449	0.00246027	-0.00371054	0.0527405
WATDE0685	0.0156671	-0.0353576	0.0260007	0.0034241	-0.0144631	-0.00318032	0.017875	0.0116962	-0.00328589	0.0392729
WATDE0686	0.0139277	-0.00679323	0.0364475	0.00457749	-0.017405	-0.00428819	-0.00732672	0.0387778	0.00767564	-0.00847567
WATDE0687	-0.0314925	-0.00718687	0.0655301	-0.0136385	-0.0156344	0.0100898	-0.0148679	-0.00557516	-0.0240775	-0.010953
WATDE0688	-0.086188	-0.00228797	-0.00617526	-0.00118477	0.0465694	0.0727354	0.0465461	-0.010478	0.0210365	0.0014149
WATDE0689	-0.0156705	0.0118217	0.00166066	0.0203314	0.0137488	0.0230467	-0.0016527	-0.0138522	0.0426688	0.0145326
WATDE0691	-0.0742087	-0.00146551	-0.0399297	-0.005543	0.0553129	0.0535686	0.105725	0.0185241	-0.131562	-0.04284
WATDE0693	-0.0133038	0.0260819	0.0121713	0.000561328	0.0104132	0.0103501	-0.00357156	-0.00588995	0.0423753	-0.00262252
WATDE0694	-0.0798308	0.00329352	0.0230138	0.0238391	0.0322543	0.0669634	-0.0124245	-0.0304937	0.121358	0.0374003
WATDE0695	-0.079832	0.00329647	0.0230181	0.0238271	0.0322576	0.0669736	-0.0124369	-0.0304991	0.121366	0.0374089
WATDE0697	-0.0573922	0.0113221	0.0123752	0.00550401	0.0270222	0.0629663	-0.0126947	0.00325433	0.0775448	0.0111749
WATDE0699	0.0395105	-0.0568688	-0.00607954	0.0289228	-0.0264764	0.0104213	-0.0145925	0.0174923	0.00542541	-0.0244426
WATDE0700	0.0341277	-0.0654481	0.0302997	0.0356998	-0.0126017	-0.0169076	0.073028	-0.0228956	0.0170907	0.0428898
WATDE0701	-0.0148943	-0.0121255	-0.00108125	0.00343087	0.0110533	0.0166454	0.0411482	0.0173308	-0.019943	0.00834071
WATDE0702	-0.018427	-0.0134366	-0.0231388	0.029037	0.0293553	0.0149569	0.0655128	0.00140745	-0.0507376	0.0211585
WATDE0703	-0.088519	0.00275185	0.0176948	0.0252199	0.0329854	0.0618824	-0.00667439	-0.027548	0.114276	0.0332839
WATDE0704	-0.0146413	-0.0225059	0.00879659	0.0107916	0.00287316	0.00871194	0.0385285	0.00860335	-0.00598883	0.0242046
WATDE0705	0.00655045	0.00379296	0.0477249	-0.0232952	-0.0163151	-0.0104134	0.0163411	0.0342741	0.0169455	-0.00288339
WATDE0706	-0.0254072	0.0158685	-0.0122932	-0.00456527	-0.0142268	-0.0275504	-0.00491568	-0.0328308	-0.000222757	0.0260126
WATDE0707	0.0314766	-0.00603959	-0.00992611	0.0387408	-0.00199967	0.00400548	0.0108825	-0.0116888	0.00200837	-0.0259212
WATDE0709	-0.0336138	-0.0295055	-0.0026921	0.0252874	0.0112426	0.0220496	0.0369505	0.0468856	-0.0634927	-0.0237751
WATDE0710	0.0148297	0.0167726	-0.0245316	0.0204627	0.00482808	0.00813429	-0.00804825	-0.0212905	-0.0176897	-0.00650681
WATDE0712	-0.0116746	0.0166276	-0.0251597	0.0317375	0.0248664	0.0248992	0.0108773	0.0051125	-0.0363882	-0.0178662
WATDE0713	-0.0114291	0.00790574	0.016629	-0.00397395	-0.00300549	0.00987229	-0.0162579	-0.010521	-0.0359964	-0.0176331
WATDE0716	0.0225431	-0.0470505	-0.00906248	-0.0970163	0.215834	-0.100762	-0.089552	-0.0044705	0.0243534	-0.0318753
WATDE0718	-0.00167243	0.0113487	-0.0232518	0.0053747	0.0360763	0.015365	0.0196912	0.0281411	-0.00172608	0.0202458
WATDE0720	0.0232473	-0.0254968	0.00424769	0.0353775	-0.0160155	0.0171188	-0.0503727	0.0635961	-0.00837252	0.00635653
WATDE0721	-0.00356492	-0.0263703	0.0232354	0.0145034	-0.0105054	0.0178317	-0.00781562	0.0388942	-0.000213609	-0.00728365
WATDE0723	-0.0139181	-0.00737627	0.0308679	-0.00532742	-0.00361273	0.00208149	0.0285877	0.0339019	-0.0242639	-0.0122084
WATDE0725	-0.097973	-0.00444189	-0.0530176	0.0216986	-0.0372215	-0.089081	-0.00673293	0.000898773	0.0232538	-0.0136003
WATDE0726	-0.0545199	-0.024005	0.0312281	0.0177582	0.0146717	0.0425644	0.0123719	0.00617665	0.0523632	0.0100654
WATDE0727	-0.0298221	0.0225949	0.0393709	-0.00986957	0.00580865	0.0214945	0.00169623	-0.0182406	0.0647545	-0.00242524
WATDE0728	0.0370208	-0.00309083	-0.00638837	0.0321619	-0.00324626	0.000905332	0.0298925	-0.0285474	-0.00135538	-0.0779364
WATDE0729	-0.0244264	-0.0847899	0.0146257	-0.0109273	0.112023	-0.0375591	-0.0207662	-0.0130779	0.0279624	-0.0162007
WATDE0730	0.0185776	-0.0353414	-0.0188697	-0.106578	0.208886	-0.0759473	-0.0704353	0.00253125	0.00262492	-0.0290106
WATDE0732	-0.00637385	-0.0923455	0.0103949	-0.0663636	0.212929	-0.0611398	-0.0768307	0.0216366	-0.0111152	-0.0279807
WATDE0735	0.0210791	-0.0521123	0.022261	-0.000970159	-0.0130594	-0.00112599	0.0256554	0.00473324	0.0174282	0.0284846
WATDE0736	0.0318328	-0.110711	0.00236631	-0.0615001	0.199773	-0.0779845	-0.0735795	0.0165331	-0.0117393	-0.00936536
WATDE0737	0.0157167	-0.0458334	0.0169747	-0.0325859	0.0144439	-0.00189352	0.0331892	0.0149237	-0.0248773	0.0180517
WATDE0738	0.0333291	-0.00656197	-0.0272853	0.0436001	-0.00453888	0.0150679	-0.0411889	0.0105132	-0.00538508	0.00663488
